Date,Toyota,Ford,GM
1/27/97,-0.0204869,-0.0147061,-0.0250611
2/3/97,-0.0063761,0.00154462,-0.013168
2/10/97,0.03574211,0.00663058,0.015017
2/18/97,-0.0119086,0.00503244,-0.001849
2/24/97,-0.0195421,-0.0035166,-0.0045851
3/3/97,-0.0053019,-0.0081464,-0.0094653
3/10/97,-0.0043444,-0.0015446,0.01032871
3/17/97,0.0064546,-0.0051888,-0.0075405
3/24/97,-0.0085965,-0.0121748,-0.0057426
3/31/97,0.00969345,0,-0.0176979
4/7/97,0.0217237,0.01890819,-0.0081033
4/14/97,-0.0061219,0.02593573,0.02580121
4/21/97,0.02871076,0,-0.0106535
4/28/97,0.02878548,0.01146719,0.01639604
5/5/97,0.01411847,0.0229596,0.00667712
5/12/97,-0.0070019,0,-0.0144998
5/19/97,-0.0198782,0.00885443,0.01536321
5/27/97,-0.0093158,0.00131273,-0.0008634
6/2/97,0.01389989,0.00736477,-0.0058003
6/9/97,-0.0008657,0.0025698,0.00479086
6/16/97,-0.0046729,0.00424949,-0.012449
6/23/97,0.00095449,0.0029501,0.00133515
6/30/97,0,0.01078533,0.00879762
7/7/97,-0.0055977,0.00407791,-0.0150637
7/14/97,0.01206451,-0.0044878,0
7/21/97,0.0080657,0.0065125,0.01462807
7/28/97,-0.0072055,0.00522043,0.05416104
8/4/97,-0.028159,0.00397345,-0.011568
8/11/97,0.00390025,-0.0120311,-0.0181571
8/18/97,-0.0308966,0.03212659,0.03571194
8/25/97,0.00106315,0.00037748,-0.0140128
9/2/97,0.0210713,0.01882914,0.02191041
9/8/97,-0.003895,-0.0061861,0.00334122
9/15/97,0.02958882,0.00906702,0.01952485
9/22/97,0.01468618,-0.0120089,-0.0228661
9/29/97,0,0.02439289,0.0117649
10/6/97,-0.0009227,0.02507544,0.0138034
10/13/97,0.02787475,-0.0164411,-0.0030559
10/20/97,-0.0336866,-0.0089833,-0.0091785
10/27/97,-0.0257929,-0.0225705,-0.0254264
11/3/97,-0.0309637,0.0201198,0.0038152
11/10/97,0.00871347,-0.0230717,-0.0207464
11/17/97,0.01203109,-0.0052146,0.00567368
11/24/97,0.01882583,0.00112269,-0.0079374
12/1/97,-0.0047331,0.03135631,0.016247
12/8/97,-0.0038736,0.00689918,-0.0051749
12/15/97,-0.005834,-0.0100399,-0.0031348
12/22/97,0.00682631,0.00832539,0.00560052
12/29/97,0.00858722,0.01353052,0.01212301
1/5/98,-0.0183602,-0.0422928,-0.0346992
1/12/98,0.0276537,0.04890324,0.00903829
1/20/98,-0.0084036,-0.008948,-0.0033505
1/26/98,-0.0104694,0.03007482,0.00667542
2/2/98,-0.0019083,0.00373321,0.01917841
2/9/98,-0.0188632,0.01819936,0.0201861
2/17/98,-0.0092154,0.0128776,0.02148307
2/23/98,0.01925887,0.0102594,0.01815698
3/2/98,-0.0029802,0.02516768,0.03213735
3/9/98,-0.0106384,-0.0048107,-0.0140729
3/16/98,-0.0108158,0.03085812,-0.0065116
3/23/98,0.00853328,0.00965414,-0.0155474
3/30/98,-0.0178792,0.00122233,-0.005271
4/6/98,0.02547024,0.02513541,-0.0003386
4/13/98,-0.0148694,0.01760895,0.00960423
4/20/98,0.01235378,-0.0311818,-0.0092656
4/27/98,-0.0134292,0.01701505,0.00682885
5/4/98,-0.0068736,-0.0094742,0.00077681
5/11/98,-0.0005473,0.01986345,0.03461709
5/18/98,-0.0010967,0.02682751,0.01241358
